machine_id,series,shift,operator,temp_zone1,temp_zone2,pressure_main,processing_time,humidity,defect_flag
M0017,Series-B,Night,Op-2,182.97416395762158,218.69564006481477,4.848410108582862,49.462986691496546,52.972779135376314,0
M0018,Series-B,Morning,Op-1,210.29155637325644,167.94488148045403,5.399970950971025,38.9441403535961,45.5057642690372,0
M0019,Series-B,Night,Op-2,204.72597482413042,204.58675208166102,4.191844695781706,48.653820595332625,43.12413137373244,0
M0020,Series-A,Morning,Op-4,202.56029734313876,205.16551221114662,4.473158790426822,45.07136533918217,52.71880653653422,0
M0021,Series-A,Morning,Op-2,209.82690983945514,171.6961763743801,4.466098539210403,40.23030290301678,51.986042322788755,0
M0022,Series-B,Evening,Op-3,216.65474444462578,188.53474618777912,5.475153795986788,42.9648184353661,43.58712020578482,0
M0023,Series-B,Night,Op-2,210.1437006501813,204.42594934692806,5.855306686290962,48.431592284783505,54.10278291141127,0
M0024,Series-A,Morning,Op-1,181.59125768668355,174.3130838851877,4.947775390731264,45.529472265576175,49.103439834673125,0
M0025,Series-A,Morning,Op-2,187.204230332643,176.94629459846456,4.915589138404995,47.92206490236242,53.355211832063056,0
M0026,Series-A,Night,Op-3,193.7518142230432,171.27478629077035,5.035026081556591,54.88220292257743,56.747341595403014,0
M0027,Series-C,Evening,Op-3,200.26091050210835,164.778649039607,5.580939151304095,37.17879194144474,43.394568571538464,0
M0028,Series-C,Evening,Op-4,205.17659020469122,170.26083682400989,4.536323432904713,53.08606287484312,40.382897359936734,1
M0029,Series-C,Morning,Op-2,192.74256186846534,161.64089599856615,5.119184491367393,45.52177968761607,55.58205172791573,0
M0030,Series-B,Night,Op-3,201.8676676447708,180.5112520238884,5.487598814891215,40.50607975838436,52.19394850305232,0
M0031,Series-C,Evening,Op-1,192.44617067646678,168.45040153412037,5.250547084969923,38.34843187130505,53.992791392442435,0
M0032,Series-B,Night,Op-4,193.8848219700805,183.50678867686122,5.094790808299372,44.054398046114834,56.76309949977285,0
M0033,Series-B,Night,Op-1,185.93338903151778,156.6615653069456,5.50052304628357,49.6082505596223,56.056218696490006,0
M0034,Series-C,Morning,Op-2,190.76766753889095,184.96320348321686,3.6483838535003814,44.36225439811233,59.218402938576496,1
M0035,Series-B,Evening,Op-2,186.48315394383667,192.50293442413388,5.338937659765453,52.55577465123674,50.71870157704237,0
M0036,Series-C,Morning,Op-2,190.24126747022666,150.09396536142816,4.672962158436288,37.744121549742204,49.769912653198105,0
M0037,Series-C,Evening,Op-4,210.5364179660784,185.61084854771357,4.084683551571771,44.93955526076973,48.0377439978146,1
M0038,Series-A,Evening,Op-3,190.50601111168058,198.41503488709938,5.255601299762491,38.73803277793441,43.07382085688409,0
M0039,Series-C,Evening,Op-4,226.3238206483739,161.85538471963193,5.686829272581479,46.81815941312484,51.452144657640446,0
M0040,Series-A,Evening,Op-1,204.9331790088089,205.08858580256555,4.931275742686154,49.4344369504865,45.540250486519575,0
M0041,Series-C,Evening,Op-4,201.84836123694873,186.28528514049069,5.476437273601469,42.89619103159473,58.42615024425951,0
M0042,Series-C,Night,Op-1,191.41642219818786,169.42482216362387,5.806139128994323,31.97893071686433,51.66381608554195,0
M0043,Series-A,Morning,Op-4,207.0030987940899,179.16346383513442,5.657457226792023,45.994740733982475,51.8568036101622,1
M0044,Series-A,Night,Op-3,194.24362173762225,188.37490368782585,5.819982264685697,47.18369275866755,47.0984932175402,0
M0045,Series-C,Evening,Op-1,201.2200981464536,181.14008087118617,5.371063745535946,47.021473774808484,41.03978703955415,0
M0046,Series-B,Morning,Op-2,225.60084538268794,188.08133988669553,5.037716819450797,51.17891095911077,40.63487530745977,0
M0047,Series-A,Evening,Op-2,199.0394010027535,166.1898961038095,4.199017094051416,39.644731601754756,48.46670288306395,0
M0048,Series-B,Morning,Op-4,211.49273326285675,182.54041236054118,4.876968755935025,48.40108052725225,41.691307561944754,0
M0049,Series-B,Night,Op-2,192.96823574874114,158.7942825464253,4.578376702341904,50.962537562389876,52.136939110802786,0
M0050,Series-B,Morning,Op-1,199.65011509503037,178.3316090797695,6.085471358748907,36.10706207996741,57.61946011279315,0
M0051,Series-A,Morning,Op-2,217.7080063563551,166.44138537802814,4.912057093783831,46.59825912959489,57.65829633037444,0
M0052,Series-B,Morning,Op-3,193.73032942212234,168.9670508611535,5.061602403392243,42.47910084496164,53.180908202644645,0
M0053,Series-A,Morning,Op-3,218.12448557996927,198.54139762815657,5.275742688020234,44.592386634491774,44.22463662945862,0
M0054,Series-B,Morning,Op-4,207.07751935455477,196.36965180891403,5.021801223186227,46.73838241769168,57.25993662717744,0
M0055,Series-C,Evening,Op-1,194.37533224105732,189.13707181360766,5.847525520215377,42.56385717943224,57.72186870626416,0
M0056,Series-C,Morning,Op-3,206.3240773905552,163.61530852991132,4.688675319132774,41.62145960419194,43.93307169905918,0
M0057,Series-A,Morning,Op-3,209.7255444962673,175.25387325457797,5.0973037276186215,45.170762087440124,54.748521715413546,0
M0058,Series-C,Night,Op-1,206.21809962217196,198.19646549968775,4.628764707150976,39.563770305685985,45.73039097854246,0
M0059,Series-C,Morning,Op-2,184.29775280109544,182.12575370459857,4.339988744389647,39.57087435557407,56.05280624705859,0
M0060,Series-B,Night,Op-2,192.72862824175132,214.7899430997254,4.694115454547357,48.396866414782515,59.944757998072056,0
M0061,Series-A,Evening,Op-4,197.52481364448496,185.8997675909156,4.981481601475794,39.25602982420672,40.60052010658786,0
M0062,Series-B,Morning,Op-2,199.25566570899954,182.88073674735048,4.78534888774137,48.331562504546056,57.94731731581864,0
M0063,Series-B,Night,Op-1,206.20672097550678,175.36325303696248,4.653789510063072,47.31295646426975,52.45261067197316,0
M0064,Series-B,Night,Op-3,201.77701000933254,182.00311357173422,4.2968412681640835,36.37096635604701,59.467652383296425,1
M0065,Series-B,Evening,Op-2,186.64655641289897,177.71295245429184,4.958447213685653,41.61217673832172,49.30019035052855,0
M0066,Series-B,Morning,Op-4,203.80197851005963,190.62163015032885,4.247639812984499,50.97054701523686,56.947758611427474,1
M0067,Series-B,Morning,Op-2,206.10585745283822,194.35053475191876,5.380027981844801,40.09417234430159,41.24788137196555,0
M0068,Series-B,Night,Op-1,205.5979044793104,168.21015809238077,5.041219876467252,42.67797868845306,46.70558100156592,0
M0069,Series-A,Morning,Op-4,210.8078072555462,160.03150569663333,4.271224250267535,47.31030446625948,41.3403307550242,1
M0070,Series-C,Night,Op-2,208.33922154548904,152.45691940345054,4.845395461475068,48.91695254641298,59.50686266958141,0
M0071,Series-B,Morning,Op-4,204.59180079228437,187.61986990368817,4.623921797204709,43.74230556977752,56.339478145436736,0
M0072,Series-B,Night,Op-1,199.29834288541352,163.4495009073919,5.1595872552095905,42.012449026541795,57.05094842491941,0
M0073,Series-B,Morning,Op-3,183.39039066484008,147.70664110571275,5.670225223011572,52.11184930849254,58.75930462867788,0
M0074,Series-B,Evening,Op-1,204.29618219132587,185.82867906796446,4.062413765177128,53.6944983189879,41.702069722395706,0
M0075,Series-B,Morning,Op-1,202.0768768716311,217.39499276149186,5.057513039573709,49.89429025390898,47.711951850266665,1
M0076,Series-B,Morning,Op-1,202.71578837195372,179.9089363269016,4.9199336022166795,45.42659071282512,41.42069778088004,0
M0077,Series-C,Evening,Op-1,187.2325142417969,192.57736161677462,5.335670038225233,40.95867139179537,44.21586203100057,0
M0078,Series-C,Morning,Op-3,189.18943459591736,181.2274403782135,5.106598314118845,40.847777967217176,44.587315540753444,0
M0079,Series-B,Evening,Op-3,210.53152853332904,178.51665520213285,4.624015334130591,47.61257052632879,49.382144220951574,1
M0080,Series-C,Morning,Op-4,199.60444846143346,193.78614724481653,4.840473032166691,47.091991104443416,45.37124334907285,0
M0081,Series-A,Night,Op-2,206.81500697372624,175.64588183717024,4.601987071598256,52.007992964732146,42.01956213635522,1
M0082,Series-B,Night,Op-3,200.2831837613046,184.01088471107855,5.538003569299299,48.2522504626807,43.349821781882156,0
M0083,Series-A,Morning,Op-3,200.29756139495743,184.82546709294022,5.010655824335971,37.484598491200906,42.945511271041816,1
M0084,Series-A,Morning,Op-2,209.38283805976,169.97864319535427,5.950595342876504,50.25973808861459,59.46153595824597,0
M0085,Series-B,Morning,Op-3,194.83955271782625,194.88063524304783,4.969669593092689,40.00969686342793,55.185850138369474,0
M0086,Series-C,Night,Op-1,200.96120776940984,177.37560364956886,4.645796616544769,43.08014364023824,59.35522930539124,0
M0087,Series-A,Morning,Op-1,195.37724711294956,168.66382260760733,4.243142803693586,46.251001031258475,48.79480973015817,0
M0088,Series-B,Night,Op-2,195.65503772567683,188.04764765355606,4.098430161872027,54.978337448919824,45.56736963325313,1
M0089,Series-A,Evening,Op-4,196.9082787653136,166.52298027313444,4.207932028497255,60.549592780026806,55.96586394418373,0
M0090,Series-A,Night,Op-4,202.22133771633713,180.42271736053692,5.133563325505742,48.03361529568092,46.52507836082294,0
M0091,Series-A,Night,Op-2,195.21251378336524,179.86321505033695,5.254362511614967,44.08401690639806,45.98766747410696,1
M0092,Series-A,Evening,Op-2,212.5575612557352,196.28843348747367,4.209404648983933,47.67252824240275,44.65011984415662,1
M0093,Series-C,Night,Op-1,191.05392697780496,187.12047349319928,5.447519157038058,49.43827712936918,42.593579564484706,1
M0094,Series-A,Morning,Op-4,198.1312835583864,179.62459561882284,4.7584694741582805,43.39666187221404,45.12926122033532,1
M0095,Series-A,Morning,Op-3,195.60268941725826,192.2664944880043,5.073396505992775,53.97605677956161,47.106394969477755,1
M0096,Series-A,Night,Op-1,214.46977884353734,200.8531132352597,5.806110314127713,46.15035379595701,53.47988416291461,0
M0097,Series-C,Morning,Op-2,201.96554776511576,188.36715459527792,5.4484196579327655,47.48871544545697,41.25129684438903,0
M0098,Series-A,Night,Op-4,210.31844539468634,180.1552892976507,4.865734676047084,48.329621260272305,44.21013879330686,1
M0099,Series-A,Morning,Op-3,185.14439626963028,160.3224565147476,4.554403887292357,47.10793305307228,56.18047280583353,0
M0100,Series-C,Morning,Op-3,202.67050265869258,164.02329505386942,3.9240922993353475,49.194702502348065,42.93843847167542,1
M0101,Series-C,Night,Op-1,208.89630795623438,175.42162943467997,4.64042334037879,41.91373406726538,46.85290293045043,0
M0102,Series-C,Morning,Op-4,200.82283989275425,170.85731696761076,4.894434880586153,42.20849123026985,57.2931784371628,0
M0103,Series-A,Night,Op-4,210.6548037506535,177.19543045521831,4.506410236424408,39.49922883514152,43.098506222868856,1
M0104,Series-C,Morning,Op-2,194.82711549899628,180.8497488734566,4.934371516453847,47.19750615310113,41.6547367123638,0
M0105,Series-C,Morning,Op-4,214.0934744018558,187.94539131535097,5.038425941479384,48.89468251756057,49.69075990160022,0
M0106,Series-A,Evening,Op-4,222.9889812361925,178.94251832911362,4.887572009095961,47.28886433075943,46.04839022557073,1
M0107,Series-C,Evening,Op-1,196.37161439560342,187.29752465739304,4.67499870958827,53.372462166737684,51.26816728967708,0
M0108,Series-A,Night,Op-4,195.54497478599228,180.96711622215182,5.084327335983364,44.972019905854765,56.076097809669506,1
M0109,Series-B,Evening,Op-3,214.533844771177,150.36800150469193,5.220970324784704,48.34370827796256,42.742969763054866,0
M0110,Series-C,Night,Op-1,215.7957214573071,165.90996909271868,4.454800461278577,39.541495619303426,51.6139816910857,1
M0111,Series-B,Evening,Op-1,194.77139972846732,177.83868666417578,5.705466189873135,43.06450148762799,50.110175207797276,0
M0112,Series-A,Morning,Op-2,195.79813182904144,161.8545788573834,4.950705933857869,48.47768878782889,42.88157572026399,0
M0113,Series-C,Night,Op-4,197.18215391139492,188.99893094994306,5.009424811472424,49.24551055371572,52.479969710579645,0
M0114,Series-A,Night,Op-2,186.55549488965724,202.96126248515546,5.354107211628278,43.53016526167909,45.472808357215435,0
M0115,Series-B,Morning,Op-3,190.81348053515802,198.28142777545975,5.116608065631751,44.64200374070967,49.75668637088025,0
M0116,Series-A,Night,Op-1,189.95859233247933,176.79835693604687,5.476568316956622,37.410631266595956,41.645446485541235,0
M0117,Series-C,Night,Op-1,192.3220243489587,202.36089205274928,5.143562082600912,43.214853995966955,49.19168114427246,1
M0118,Series-C,Evening,Op-1,199.6531511261322,182.23001185803167,4.693781312679781,49.45191581759893,46.129269360856405,0
M0119,Series-B,Night,Op-3,202.3421473253652,174.9437104332294,5.180751762603051,47.876025080532834,56.44762422370709,0
M0120,Series-A,Morning,Op-3,215.50500492814078,170.7989600468859,4.4281368963396694,47.503328606906045,41.13957453994737,1
M0121,Series-C,Evening,Op-2,190.01645959261208,175.46295470267808,5.0542798528882615,45.248868435904804,48.3721454983666,0
M0122,Series-B,Evening,Op-2,209.84322398476584,174.17734772188157,4.9833850046777695,45.03531579314088,49.16862848262876,1
M0123,Series-C,Morning,Op-2,197.86011155774491,182.5562433356323,4.89594157136373,41.698394302632764,54.50012152598237,0
M0124,Series-C,Morning,Op-4,199.50536290347566,182.40860971574796,4.935731244280535,48.49414210101267,51.485751501804216,0
M0125,Series-A,Evening,Op-1,206.74819492166603,180.0456903023012,4.059075477251181,47.104864721946946,53.34424674388362,0
M0126,Series-C,Night,Op-1,188.772779784377,186.55407254619524,4.725637546129519,47.46009423996399,55.54098571303512,0
M0127,Series-A,Evening,Op-2,203.8240974618405,197.85969412179512,5.0464224505705575,42.3698257866621,57.24405947316377,1
M0128,Series-C,Morning,Op-1,201.66452208213056,194.24331203161987,5.079928195998701,34.23328540064378,46.27750993444941,0
M0129,Series-B,Evening,Op-2,204.92451264008147,157.72653047325144,4.486162429537021,50.485763558768475,50.76045410727806,1
M0130,Series-C,Morning,Op-4,202.89168643907817,141.69118297647069,5.63285392043235,42.60581271995798,56.802161568784,0
M0131,Series-A,Evening,Op-4,224.55300139910895,194.0147986685891,4.56691257589275,40.686121179784394,59.78902261930113,1
M0132,Series-A,Night,Op-3,193.62260015748683,159.4968195237687,5.484728600263368,48.46739455956997,57.79038622087526,0
M0133,Series-B,Evening,Op-4,194.69003044998183,176.62851897160974,5.213597180935842,43.039936800404355,47.429345252487536,0
M0134,Series-C,Evening,Op-2,193.76859473575234,162.4483046091096,4.676886345078098,50.29968192023311,43.90333034437301,0
M0135,Series-C,Morning,Op-4,194.44522880839745,152.9702934362997,5.8876554463047555,48.08502974788349,49.787850748131774,0
M0136,Series-B,Morning,Op-3,193.62612872693484,188.12194092307183,4.40318158412176,48.417846616002386,54.832829036720845,1
M0137,Series-C,Morning,Op-1,211.89016531107552,191.3873274045397,5.459577086805001,38.17022144399733,49.85138141506595,0
M0138,Series-C,Evening,Op-2,214.20504247989854,171.3523439890992,5.500291159021489,51.059719926932004,49.66361726627337,0
M0139,Series-A,Night,Op-1,194.29253706250523,141.13436561782635,4.664689895461677,46.30625265616928,56.76460842163601,0
M0140,Series-C,Morning,Op-3,191.6764442689577,171.80633327621277,5.696232650032164,43.15361430376898,47.228075581343724,0
M0141,Series-C,Morning,Op-3,204.71415556386404,185.8770600810382,4.8749767427005235,45.716942336711256,57.19589349623291,1
M0142,Series-B,Evening,Op-3,194.47776955719027,157.81632646838807,5.1443468146399285,36.1188238355084,48.13609601903447,0
M0143,Series-B,Morning,Op-1,206.3293181775551,182.75039879668734,5.13016091938561,47.043264057403356,46.56466211356679,0
M0144,Series-A,Night,Op-1,202.02923020851298,179.77035226240505,4.932845629264726,39.85314245908964,49.07979822399398,0
M0145,Series-C,Night,Op-1,184.84255885002767,188.68937249401634,5.405404136579891,38.23664857078233,55.24893917349737,0
M0146,Series-C,Morning,Op-1,215.47505201330063,181.7937055262123,5.396744360276107,37.38820406891055,42.520040557279884,0
M0147,Series-C,Morning,Op-3,217.9587767309552,165.40396588677666,4.125734013380909,50.563441874949625,43.92838431744035,1
M0148,Series-A,Evening,Op-3,193.87211309515615,197.94857252496737,5.6521701214390765,41.85368303153606,59.02889651326184,0
M0149,Series-A,Night,Op-2,196.12298440064015,177.62205640459544,4.168754005982163,52.6686385495825,43.50983254762715,0
M0150,Series-B,Night,Op-2,202.85865390724905,179.59043190735102,5.516273102170828,42.32099268473851,51.35454635862109,0
M0151,Series-A,Morning,Op-1,203.34456789987024,166.00098061390207,5.563352568413792,36.463210212035264,51.58628933323876,1
M0152,Series-C,Evening,Op-4,206.5854427267283,173.35076623212734,4.454516784892401,39.4173778002567,49.792489241004894,0
M0153,Series-C,Night,Op-4,220.1020453876635,166.7279592895965,4.794592856022708,51.179058100034695,52.89490497153637,0
M0154,Series-A,Night,Op-3,198.23052772505952,177.40580910114866,4.447147665757032,44.22050911031666,44.59653451595237,1
M0155,Series-C,Evening,Op-3,192.01702755461545,205.67562720213516,4.892539484855632,42.258563517546996,51.05324535553496,0
M0156,Series-C,Evening,Op-3,186.20680771985474,159.42148285602966,4.84598285790713,45.80009112926394,47.44346510493794,0
M0157,Series-A,Night,Op-2,192.6906996005808,155.7965790318489,5.38983026613467,47.50891368083772,53.23334519258378,0
M0158,Series-A,Night,Op-2,199.66873027126204,202.06755491240412,5.655154373059805,50.5869940795123,42.82447086746299,0
M0159,Series-C,Evening,Op-3,217.94557863517787,176.860144842722,5.697841905394978,52.24249614946463,51.41754833678952,0
M0160,Series-C,Night,Op-3,194.8238870096383,169.96390892010126,4.718915986710849,43.20115677105457,43.705407107666474,0
M0161,Series-C,Morning,Op-3,202.23787951638897,195.59857031094114,4.895389063127736,38.369761569589805,45.57286126230073,0
M0162,Series-B,Morning,Op-4,199.8357710392725,170.91576690394703,4.1582809038895245,42.93267419438362,44.374196006471664,0
M0163,Series-B,Evening,Op-2,211.88393273448085,207.39014570320404,4.597064966751906,46.30140253291443,43.65675559737634,1
M0164,Series-B,Evening,Op-4,225.26932425873622,190.16888807008903,5.482425816548729,40.18120536894695,56.51421903121334,1
M0165,Series-A,Evening,Op-4,194.6913122707968,172.68132887781445,5.807791411774116,40.21424542552479,45.71415135321781,0
M0166,Series-B,Morning,Op-3,195.1056055748178,212.35962319898255,4.382825564060039,46.718939407749424,58.54247563728899,1
M0167,Series-A,Night,Op-3,210.44160877069072,170.91427615494993,4.703767870423553,44.75673824214775,59.39853050690382,1
M0168,Series-A,Morning,Op-1,206.81891489626312,191.1314305801396,4.986797121520537,45.163984977057936,51.42520939874195,0
M0169,Series-B,Night,Op-1,218.46707325736034,184.48938870609737,5.140080579409803,41.207523326499654,42.86002245331453,0
M0170,Series-B,Morning,Op-4,205.83928185325965,199.52611934098198,4.595198240039177,43.847996428971165,47.49096486759163,0
M0171,Series-B,Night,Op-2,196.4070790921294,203.4226679509028,5.212030522232045,40.37883427865848,55.95464526696428,0
M0172,Series-C,Morning,Op-3,205.9065483069231,180.4800622359865,4.763080326464542,49.450992055623935,47.347814573941406,0
M0173,Series-B,Evening,Op-3,211.0870358058291,168.69873194480724,4.992773864560861,50.17624667361876,41.74034436605577,0
M0174,Series-C,Morning,Op-4,208.20482181197363,186.89958214408674,5.27314212400185,35.76906068880953,51.13569821856376,1
M0175,Series-A,Night,Op-1,205.07274031107298,169.8342694537184,5.003211134905469,40.35244569903795,56.9024170299207,0
M0176,Series-C,Morning,Op-2,210.66674689589155,210.20080871289935,4.781807054736715,37.51735372454961,55.91852774287005,0
M0177,Series-B,Morning,Op-1,211.69295590445674,182.04802996624107,4.945195098037084,41.749880327965506,43.50246280260706,0
M0178,Series-A,Morning,Op-1,213.82158991037528,174.52017673031838,4.955818520397332,44.58281015104819,53.45529228824933,0
M0179,Series-A,Evening,Op-1,206.48709887589644,182.77020458797364,4.814994485058936,37.75177390150735,44.41008526871294,0
M0180,Series-A,Morning,Op-1,198.32881919683146,159.79310565705455,4.870601968666449,40.390700934373434,44.36415069104344,0
M0181,Series-C,Evening,Op-3,201.46713686433324,165.42578942234022,5.799323585252359,39.98021313959251,57.481435466103704,0
M0182,Series-B,Evening,Op-3,212.06508966508358,198.0062086191664,5.280459723970619,46.03633664699472,44.993379054804606,1
M0183,Series-A,Morning,Op-1,191.83064329012763,170.14658581542906,4.85225984098542,45.34672168518125,45.264946930360225,0
M0184,Series-A,Morning,Op-2,203.686733088729,164.2963352597709,5.348477202255368,41.391312233313734,40.013067815225995,0
M0185,Series-A,Morning,Op-4,196.0666118767264,188.0497912879093,4.833090255121995,45.88410436069699,57.41338068251035,1
M0186,Series-C,Night,Op-2,200.28744822934817,197.78556231994494,5.58656231879332,42.26659957706367,55.85189626418269,0
M0187,Series-C,Morning,Op-2,212.78451862607298,190.784299659976,5.184821096099047,43.641724448369736,52.54657870181356,0
M0188,Series-B,Evening,Op-2,201.91099068019903,194.94071528708724,4.946348927997885,53.36726045149268,55.00531527877685,0
M0189,Series-C,Morning,Op-1,200.4643654815615,168.6480736714581,5.223858462905139,51.70230525895174,43.04097134848983,0
M0190,Series-A,Night,Op-3,186.4014385902008,158.67283999887235,4.21456192396575,38.50209381536201,49.166471891751506,0
M0191,Series-B,Morning,Op-2,207.4625356602722,202.5200047793323,4.436616265545098,49.14866208939587,47.02438774697562,1
M0192,Series-A,Night,Op-1,206.45484181141074,175.15980241736796,4.403037496800472,49.056982772457964,41.87553052514033,0
M0193,Series-A,Night,Op-2,221.6325472330546,176.23750475317428,5.0714715473818535,39.25868355623691,49.722609704298485,0
M0194,Series-C,Morning,Op-2,196.92221765047,199.92291212773586,5.866257499742546,49.0938882187743,58.414793006852705,0
M0195,Series-B,Evening,Op-1,202.1915032766394,188.3434501410099,6.115650073096316,52.68965959206277,40.80118238101389,0
M0196,Series-C,Night,Op-3,202.49383683710755,186.83831658122412,5.3190255507203785,39.38727596877793,45.82921826987588,0
M0197,Series-C,Morning,Op-3,215.77453279763475,212.47503517351626,5.250422237472229,40.41248589492868,44.15081872411407,0
M0198,Series-B,Morning,Op-4,199.04704467613047,170.34722654429785,4.099471132923631,50.08830733421751,44.762933073313924,0
M0199,Series-A,Evening,Op-1,202.79021525770338,193.91760192121856,4.728663100132989,46.35747655412824,58.16869103758751,0
M0200,Series-A,Night,Op-4,206.0789650971654,180.85519687345626,4.60610812404588,47.757381376197614,49.3613810846858,0
M0201,Series-B,Night,Op-4,201.8660912315636,184.02888418294887,4.689576200874442,46.702946082002484,49.32598825879638,1
M0202,Series-A,Morning,Op-4,195.53566385449471,202.92702639618798,4.915928090707605,46.95347960464072,55.211512849105645,1
M0203,Series-B,Morning,Op-3,201.94089992898307,187.61753634434436,4.763954711151436,38.367639358444585,43.089844080098516,0
M0204,Series-B,Evening,Op-1,210.7363174985977,188.0744411857445,4.0103500948121065,50.236588533107245,49.74530708200101,1
M0205,Series-C,Evening,Op-4,189.7348470058894,196.08761005964703,5.373955128058767,50.84794996213887,48.59970428242119,0
M0206,Series-B,Night,Op-1,201.32969674146875,174.52570905685673,4.463628487130097,43.853046279659864,51.93821381093312,1
M0207,Series-C,Night,Op-1,192.99879185060826,167.4118549899149,5.119623432055575,44.78261525093069,59.99115406500877,0
M0208,Series-A,Morning,Op-3,211.95046628924842,164.3278620896845,6.037041334874987,37.344462487221385,55.38897788164094,0
M0209,Series-A,Night,Op-4,184.76813095216227,150.50465115935998,4.540307704206788,47.57127378008917,47.957314060348544,0
M0210,Series-A,Evening,Op-4,194.41078152728412,210.84310694910482,3.7348562386268354,47.86028720857072,56.55106104548094,0
M0211,Series-A,Evening,Op-1,203.7721187506452,163.45187451417476,4.856997889059945,44.68904491500344,43.414167266249606,0
M0212,Series-C,Morning,Op-2,215.6552402923434,176.6811956462134,5.550479817499285,50.621766799352514,40.609273726179204,0
M0213,Series-A,Evening,Op-3,199.34249738927014,175.8478005016662,5.979173727110297,43.3296138451003,44.08896744928546,0
M0214,Series-B,Evening,Op-3,194.44800473306802,184.6111004671365,4.385225202773792,47.823029629468,46.80823112228519,0
M0215,Series-B,Evening,Op-3,218.8115706944059,192.23605818808946,5.248349611618261,39.901678306539424,50.211615149191196,1
M0216,Series-B,Evening,Op-3,185.51986099583755,192.90710232539618,4.767344771609974,44.88223924562881,52.302582810824,1
M0217,Series-C,Morning,Op-4,178.01194043379917,171.25383842146593,4.947025822847932,44.12822871048582,58.21211434428844,0
M0218,Series-A,Morning,Op-4,204.40014450053332,177.49317429320382,6.322171673508517,46.12653961020471,50.19708019100916,0
M0219,Series-A,Night,Op-2,194.9794577564739,184.2386992573245,4.248514835802423,43.15236535583321,50.025512892514584,0
M0220,Series-A,Evening,Op-3,189.78767182869288,176.2696331072468,5.126869830747287,44.342637021641664,41.004860196459646,0
M0221,Series-C,Night,Op-3,207.08356447299354,204.11018364029988,5.233846585882716,49.13023585720753,40.69823105312447,0
M0222,Series-B,Morning,Op-1,202.438007137712,187.36462427457377,5.542893162469674,42.81617881380891,51.02319923832744,0
M0223,Series-B,Morning,Op-4,194.35921369263272,191.02316679074727,5.048991576735448,36.96711449630661,48.76357226496689,0
M0224,Series-A,Morning,Op-3,187.19695601329104,189.9432190300112,5.154025269752051,53.7479195210271,56.783607899605975,0
M0225,Series-B,Morning,Op-2,208.72457328280146,197.60210786227987,4.804175716289104,51.907270393452436,43.213591694236904,0
M0226,Series-B,Morning,Op-2,206.5020117795866,182.71532338055562,5.134563470622553,38.538686524471906,40.49943324234099,0
M0227,Series-C,Morning,Op-4,199.00824136220618,160.5475207806623,4.828403862251295,48.44853902622597,48.980775358602514,0
M0228,Series-C,Morning,Op-2,218.46636996047667,185.99531927628962,5.310785944928026,42.485126147243285,44.74957113504515,0
M0229,Series-C,Evening,Op-2,189.29915233673847,170.22964659312257,4.815194831978183,46.3174360766553,40.99228746677675,1
M0230,Series-C,Night,Op-4,184.74474829075263,172.07074977375365,5.188550196951093,46.471120645067465,54.49196573695258,0
M0231,Series-A,Morning,Op-3,193.08091930118755,188.7954602813264,4.985368593157511,43.82796099841839,42.23185999914495,0
